movie_index,similarity_score,movie_title
65,0.9999999999999998,The Dark Knight
3,0.30151176591665485,The Dark Knight Rises
428,0.24943052490782133,Batman Returns
3854,0.22451581982034285,"Batman: The Dark Knight Returns, Part 2"
299,0.21407005730021644,Batman Forever
1359,0.1823343098478781,Batman
119,0.16203671480953247,Batman Begins
1181,0.13462679652302018,JFK
9,0.1186373684379916,Batman v Superman: Dawn of Justice
2507,0.11373835325013242,Slow Burn
210,0.10689597818735443,Batman & Robin
879,0.10328880573857176,Law Abiding Citizen
2020,0.09175975268150444,The Rookie
205,0.0894339210277421,Sherlock Holmes: A Game of Shadows
4135,0.0872063923853466,Gangster's Paradise: Jerusalema
506,0.08620146859138193,Despicable Me 2
2193,0.07708036864131587,Secret in Their Eyes
4391,0.07514189490790028,The Perfect Host
1084,0.07454410576586172,The Glimmer Man
3943,0.07254937789458345,Compadres
606,0.07234157464127894,Blackhat
2987,0.07104619620088545,The Mighty Ducks
1440,0.07097247998113307,Flight of the Intruder
245,0.07078932009293336,Tomorrow Never Dies
4780,0.07044454876613127,Dutch Kills
817,0.06756334922531913,American Wedding
1478,0.06675368586868184,A Few Good Men
2732,0.06381608894102221,Save the Last Dance
3062,0.06369530203055389,Deuces Wild
3492,0.06292118243132806,The First Great Train Robbery
2030,0.062307179631300405,Derailed
864,0.061793619489347355,Blade II
3299,0.06151069391512992,Swelter
2282,0.06107954948775069,Scream
2509,0.06078171986247813,Slither
571,0.05945457318303935,Inglourious Basterds
2839,0.05935632441321416,Rounders
2050,0.059138710960923394,The Transporter Refueled
4099,0.058713060407382264,Harsh Times
992,0.05865214255709028,Domino
3765,0.057671577006491524,Let's Go to Prison
58,0.0576177972216438,Rush Hour 3
3594,0.057568192429966886,Spring Breakers
2207,0.05514846468261444,12 Rounds
4576,0.05483609233548809,Blue Ruin
3726,0.0547067197980736,Sexy Beast
2147,0.054555494601940015,The Debt
1735,0.05441935359994206,Ghosts of Mars
305,0.05414410467186607,Treasure Planet
1712,0.054075483739477834,Last Vegas
2236,0.05389521434848259,Chasing Mavericks
283,0.05378894288758537,The Taking of Pelham 1 2 3
4634,0.053573234345196445,Better Luck Tomorrow
3819,0.05327529012366097,Defendor
2722,0.052984975826819394,Seven Psychopaths
669,0.052790741453433834,Sin City: A Dame to Kill For
1758,0.05249791752776798,Lucky Number Slevin
2377,0.05217430795176489,The Railway Man
351,0.051843660276000215,The Departed
2371,0.051016167220075834,RockNRolla
4087,0.05099967357254496,American Splendor
2308,0.05067574193912358,Land of the Dead
2726,0.05049611494529717,Under the Skin
1210,0.05049053006788511,Gothika
4673,0.050257111871754336,She Done Him Wrong
531,0.0499972897916559,The Man from U.N.C.L.E.
877,0.04971333811894935,Black Mass
2506,0.0496649863720136,Madison
3075,0.04915118703821183,Crash
1540,0.04868491168393069,American Pie 2
1253,0.048616692838263496,Kiss of Death
2466,0.048551067238968244,See Spot Run
2094,0.04738295166419546,Jaws 2
2587,0.04734093248421062,Killing Them Softly
909,0.04732839170126311,Erin Brockovich
726,0.04643728583507411,Starsky & Hutch
4689,0.0461405593485492,The Trials Of Darryl Hunt
1202,0.045829549285751996,Legal Eagles
2585,0.045774366715298484,The Hurt Locker
4369,0.045508382275554815,Slam
1938,0.04547003108815952,Blindness
943,0.044547752832220004,Firewall
82,0.04442216967503208,Dawn of the Planet of the Apes
2660,0.044178364084674945,Magic Mike XXL
1308,0.04411269482439332,Enough
820,0.04409735540828009,Casper
853,0.04407903988783023,Elizabeth: The Golden Age
3579,0.04392484694201553,The Man from Snowy River
1068,0.04387649877308011,The Hitchhiker's Guide to the Galaxy
3162,0.04358245344322123,Thunderball
2464,0.043523269153807984,The Master of Disguise
187,0.04351129906172678,Puss in Boots
4599,0.04343319772674083,American Ninja 2: The Confrontation
2959,0.043375368454929654,Machine Gun McCain
3773,0.043257100142979954,Thumbsucker
4202,0.04323403121742464,She Wore a Yellow Ribbon
2536,0.04299476517155921,The Deer Hunter
1875,0.04281574192821031,Elizabeth
251,0.042699918077276425,Gulliver's Travels
517,0.04265473609914606,Exorcist: The Beginning
2816,0.0424013641412251,Ace Ventura: Pet Detective
3965,0.04238761613047715,Never Back Down 2: The Beatdown
941,0.04231585005903674,13 Hours: The Secret Soldiers of Benghazi
209,0.04223667196977558,The Bourne Legacy
3942,0.04216544677445063,Hobo with a Shotgun
287,0.04201955825387901,Django Unchained
4134,0.04159903161632157,Lesbian Vampire Killers
1460,0.04149838737413954,The Horseman on the Roof
3823,0.04147878814110199,Midnight Cowboy
1321,0.04144983305245753,Texas Rangers
2320,0.041448412273428874,Left Behind
4532,0.04139099688941197,Lonesome Jim
2929,0.04130870698545692,History of the World: Part I
1952,0.041274330157286584,The Counselor
1450,0.04125923766672638,Punisher: War Zone
408,0.04123121019613596,Collateral Damage
1866,0.040878422890351665,Jeepers Creepers 2
1221,0.040725090069129166,The Doors
70,0.04035580086099853,Wild Wild West
4788,0.04032350510331614,Pink Flamingos
1251,0.04021503699246207,Showgirls
2188,0.03998997199733134,Paparazzi
2068,0.039625882746886755,Death at a Funeral
2042,0.03960908750027154,Josie and the Pussycats
1282,0.03956192483006969,The Hunting Party
2850,0.03954784058142257,Tales from the Crypt: Demon Knight
2685,0.03949907082165952,Exorcist II: The Heretic
1718,0.03947610681941951,Hocus Pocus
4035,0.03928891166462499,Stung
2001,0.03908827159559268,The Crew
1001,0.03882734814919589,Street Fighter: The Legend of Chun-Li
225,0.038753747940407444,Speed Racer
321,0.038581011060623116,The Campaign
1884,0.03842642793802958,The Gambler
